	Country	Invader_Species	Role	Email
60	Albania	d&d_werewolf	heal	capatain.america@avengers.com
61	Albania	d&d_yuan-ti	attack	capatain.america@avengers.com
62	Albania	d&d_yuan-ti	defense	capatain.america@avengers.com
63	Albania	d&d_yuan-ti	heal	capatain.america@avengers.com
64	Algeria	aliens	attack	iron.man@avengers.com
65	Algeria	predators	attack	thor@avengers.com
66	Algeria	d&d_beholder	attack	wasp@avengers.com
67	Algeria	d&d_beholder	defense	wasp@avengers.com
68	Algeria	d&d_beholder	heal	wasp@avengers.com
69	Algeria	d&d_devil	attack	ant.man@avengers.com
70	Algeria	d&d_devil	defense	ant.man@avengers.com
71	Algeria	d&d_devil	heal	batman@dc-world.com
72	Algeria	d&d_lich	attack	hulk@avengers.com
73	Algeria	d&d_lich	defense	hulk@avengers.com
74	Algeria	d&d_lich	heal	hulk@avengers.com
75	Algeria	d&d_mind_flayer	attack	capatain.america@avengers.com
76	Algeria	d&d_mind_flayer	defense	capatain.america@avengers.com
77	Algeria	d&d_mind_flayer	heal	capatain.america@avengers.com
78	Algeria	d&d_vampire	attack	capatain.america@avengers.com
79	Algeria	d&d_vampire	defense	capatain.america@avengers.com
80	Algeria	d&d_vampire	heal	capatain.america@avengers.com
81	Algeria	d&d_red_dragon	attack	capatain.america@avengers.com
82	Algeria	d&d_red_dragon	defense	capatain.america@avengers.com
83	Algeria	d&d_red_dragon	heal	capatain.america@avengers.com
84	Algeria	d&d_hill_giant	attack	hawkeye@avengers.com
85	Algeria	d&d_hill_giant	defense	hawkeye@avengers.com
86	Algeria	d&d_hill_giant	heal	hawkeye@avengers.com
87	Algeria	d&d_treant	attack	hawkeye@avengers.com
88	Algeria	d&d_treant	defense	hawkeye@avengers.com
89	Algeria	d&d_treant	heal	hawkeye@avengers.com
90	Algeria	d&d_werewolf	attack	capatain.america@avengers.com
91	Algeria	d&d_werewolf	defense	capatain.america@avengers.com
92	Algeria	d&d_werewolf	heal	capatain.america@avengers.com
93	Algeria	d&d_yuan-ti	attack	capatain.america@avengers.com
94	Algeria	d&d_yuan-ti	defense	capatain.america@avengers.com
95	Algeria	d&d_yuan-ti	heal	capatain.america@avengers.com
96	Andorra	aliens	attack	iron.man@avengers.com
97	Andorra	predators	attack	thor@avengers.com
98	Andorra	d&d_beholder	attack	wasp@avengers.com
99	Andorra	d&d_beholder	defense	wasp@avengers.com
100	Andorra	d&d_beholder	heal	wasp@avengers.com
101	Andorra	d&d_devil	attack	ant.man@avengers.com
102	Andorra	d&d_devil	defense	ant.man@avengers.com
103	Andorra	d&d_devil	heal	batman@dc-world.com
104	Andorra	d&d_lich	attack	hulk@avengers.com
105	Andorra	d&d_lich	defense	hulk@avengers.com
106	Andorra	d&d_lich	heal	hulk@avengers.com
107	Andorra	d&d_mind_flayer	attack	capatain.america@avengers.com
108	Andorra	d&d_mind_flayer	defense	capatain.america@avengers.com
109	Andorra	d&d_mind_flayer	heal	capatain.america@avengers.com
110	Andorra	d&d_vampire	attack	capatain.america@avengers.com
111	Andorra	d&d_vampire	defense	capatain.america@avengers.com
112	Andorra	d&d_vampire	heal	capatain.america@avengers.com
113	Andorra	d&d_red_dragon	attack	capatain.america@avengers.com
114	Andorra	d&d_red_dragon	defense	capatain.america@avengers.com
115	Andorra	d&d_red_dragon	heal	capatain.america@avengers.com
116	Andorra	d&d_hill_giant	attack	hawkeye@avengers.com
117	Andorra	d&d_hill_giant	defense	hawkeye@avengers.com
118	Andorra	d&d_hill_giant	heal	hawkeye@avengers.com
119	Andorra	d&d_treant	attack	hawkeye@avengers.com
120	Andorra	d&d_treant	defense	hawkeye@avengers.com
121	Andorra	d&d_treant	heal	hawkeye@avengers.com
122	Andorra	d&d_werewolf	attack	capatain.america@avengers.com
123	Andorra	d&d_werewolf	defense	capatain.america@avengers.com
124	Andorra	d&d_werewolf	heal	capatain.america@avengers.com
125	Andorra	d&d_yuan-ti	attack	capatain.america@avengers.com
126	Andorra	d&d_yuan-ti	defense	capatain.america@avengers.com
127	Andorra	d&d_yuan-ti	heal	capatain.america@avengers.com
128	Angola	aliens	attack	iron.man@avengers.com
129	Angola	predators	attack	thor@avengers.com
130	Angola	d&d_beholder	attack	wasp@avengers.com
131	Angola	d&d_beholder	defense	wasp@avengers.com
132	Angola	d&d_beholder	heal	wasp@avengers.com
133	Angola	d&d_devil	attack	ant.man@avengers.com
134	Angola	d&d_devil	defense	ant.man@avengers.com
135	Angola	d&d_devil	heal	batman@dc-world.com
136	Angola	d&d_lich	attack	hulk@avengers.com
137	Angola	d&d_lich	defense	hulk@avengers.com
138	Angola	d&d_lich	heal	hulk@avengers.com
139	Angola	d&d_mind_flayer	attack	capatain.america@avengers.com
140	Angola	d&d_mind_flayer	defense	capatain.america@avengers.com
141	Angola	d&d_mind_flayer	heal	capatain.america@avengers.com
142	Angola	d&d_vampire	attack	capatain.america@avengers.com
143	Angola	d&d_vampire	defense	capatain.america@avengers.com
144	Angola	d&d_vampire	heal	capatain.america@avengers.com
145	Angola	d&d_red_dragon	attack	capatain.america@avengers.com
146	Angola	d&d_red_dragon	defense	capatain.america@avengers.com
147	Angola	d&d_red_dragon	heal	capatain.america@avengers.com
148	Angola	d&d_hill_giant	attack	hawkeye@avengers.com
149	Angola	d&d_hill_giant	defense	hawkeye@avengers.com
150	Angola	d&d_hill_giant	heal	hawkeye@avengers.com
151	Angola	d&d_treant	attack	hawkeye@avengers.com
152	Angola	d&d_treant	defense	hawkeye@avengers.com
153	Angola	d&d_treant	heal	hawkeye@avengers.com
154	Angola	d&d_werewolf	attack	capatain.america@avengers.com
155	Angola	d&d_werewolf	defense	capatain.america@avengers.com
156	Angola	d&d_werewolf	heal	capatain.america@avengers.com
157	Angola	d&d_yuan-ti	attack	capatain.america@avengers.com
158	Angola	d&d_yuan-ti	defense	capatain.america@avengers.com
159	Angola	d&d_yuan-ti	heal	capatain.america@avengers.com
160	Argentina	aliens	attack	nova@avengers.com
161	Argentina	predators	attack	nova@avengers.com
162	Argentina	d&d_beholder	attack	nova@avengers.com
163	Argentina	d&d_beholder	defense	nova@avengers.com
164	Argentina	d&d_beholder	heal	agent.venom@avengers.com
165	Argentina	d&d_devil	attack	nova@avengers.com
166	Argentina	d&d_devil	defense	nova@avengers.com
167	Argentina	d&d_devil	heal	batman@dc-world.com
168	Argentina	d&d_lich	attack	nova@avengers.com
169	Argentina	d&d_lich	defense	nova@avengers.com
170	Argentina	d&d_lich	heal	hulk@avengers.com
171	Argentina	d&d_mind_flayer	attack	nova@avengers.com
172	Argentina	d&d_mind_flayer	defense	nova@avengers.com
173	Argentina	d&d_mind_flayer	heal	havok@avengers.com
174	Argentina	d&d_vampire	attack	nova@avengers.com
175	Argentina	d&d_vampire	defense	nova@avengers.com
176	Argentina	d&d_vampire	heal	sunspot@avengers.com
177	Argentina	d&d_red_dragon	attack	nova@avengers.com
178	Argentina	d&d_red_dragon	defense	nova@avengers.com
179	Argentina	d&d_red_dragon	heal	smasher@avengers.com
180	Argentina	d&d_hill_giant	attack	nova@avengers.com
181	Argentina	d&d_hill_giant	defense	nova@avengers.com
182	Argentina	d&d_hill_giant	heal	hawkeye@avengers.com
183	Argentina	d&d_treant	attack	nova@avengers.com
184	Argentina	d&d_treant	defense	nova@avengers.com
185	Argentina	d&d_treant	heal	hawkeye@avengers.com
186	Argentina	d&d_werewolf	attack	nova@avengers.com
187	Argentina	d&d_werewolf	defense	nova@avengers.com
188	Argentina	d&d_werewolf	heal	rogue@avengers.com
189	Argentina	d&d_yuan-ti	attack	nova@avengers.com
190	Argentina	d&d_yuan-ti	defense	nova@avengers.com
191	Argentina	d&d_yuan-ti	heal	abyss@avengers.com
192	Australia	aliens	attack	iron.man@avengers.com
193	Australia	predators	attack	thor@avengers.com
194	Australia	d&d_beholder	attack	wasp@avengers.com
195	Australia	d&d_beholder	defense	wasp@avengers.com
196	Australia	d&d_beholder	heal	wasp@avengers.com
197	Australia	d&d_devil	attack	ant.man@avengers.com
198	Australia	d&d_devil	defense	ant.man@avengers.com
199	Australia	d&d_devil	heal	batman@dc-world.com
200	Australia	d&d_lich	attack	hulk@avengers.com
201	Australia	d&d_lich	defense	hulk@avengers.com
202	Australia	d&d_lich	heal	hulk@avengers.com
203	Australia	d&d_mind_flayer	attack	capatain.america@avengers.com
204	Australia	d&d_mind_flayer	defense	capatain.america@avengers.com
205	Australia	d&d_mind_flayer	heal	capatain.america@avengers.com
206	Australia	d&d_vampire	attack	capatain.america@avengers.com
207	Australia	d&d_vampire	defense	capatain.america@avengers.com
208	Australia	d&d_vampire	heal	capatain.america@avengers.com
209	Australia	d&d_red_dragon	attack	capatain.america@avengers.com
210	Australia	d&d_red_dragon	defense	capatain.america@avengers.com
211	Australia	d&d_red_dragon	heal	capatain.america@avengers.com
212	Australia	d&d_hill_giant	attack	hawkeye@avengers.com
213	Australia	d&d_hill_giant	defense	hawkeye@avengers.com
214	Australia	d&d_hill_giant	heal	hawkeye@avengers.com
215	Australia	d&d_treant	attack	hawkeye@avengers.com
216	Australia	d&d_treant	defense	hawkeye@avengers.com
217	Australia	d&d_treant	heal	hawkeye@avengers.com
218	Australia	d&d_werewolf	attack	capatain.america@avengers.com
219	Australia	d&d_werewolf	defense	capatain.america@avengers.com
220	Australia	d&d_werewolf	heal	capatain.america@avengers.com
221	Australia	d&d_yuan-ti	attack	capatain.america@avengers.com
222	Australia	d&d_yuan-ti	defense	capatain.america@avengers.com
223	Australia	d&d_yuan-ti	heal	capatain.america@avengers.com
224	Austria	aliens	attack	iron.man@avengers.com
225	Austria	predators	attack	thor@avengers.com
226	Austria	d&d_beholder	attack	wasp@avengers.com
227	Austria	d&d_beholder	defense	wasp@avengers.com
228	Austria	d&d_beholder	heal	wasp@avengers.com
229	Austria	d&d_devil	attack	ant.man@avengers.com
230	Austria	d&d_devil	defense	ant.man@avengers.com
231	Austria	d&d_devil	heal	batman@dc-world.com
232	Austria	d&d_lich	attack	hulk@avengers.com
233	Austria	d&d_lich	defense	hulk@avengers.com
234	Austria	d&d_lich	heal	hulk@avengers.com
235	Austria	d&d_mind_flayer	attack	capatain.america@avengers.com
236	Austria	d&d_mind_flayer	defense	capatain.america@avengers.com
237	Austria	d&d_mind_flayer	heal	capatain.america@avengers.com
238	Austria	d&d_vampire	attack	capatain.america@avengers.com
239	Austria	d&d_vampire	defense	capatain.america@avengers.com
240	Austria	d&d_vampire	heal	capatain.america@avengers.com
241	Austria	d&d_red_dragon	attack	capatain.america@avengers.com
242	Austria	d&d_red_dragon	defense	capatain.america@avengers.com
243	Austria	d&d_red_dragon	heal	capatain.america@avengers.com
244	Austria	d&d_hill_giant	attack	hawkeye@avengers.com
245	Austria	d&d_hill_giant	defense	hawkeye@avengers.com
246	Austria	d&d_hill_giant	heal	hawkeye@avengers.com
247	Austria	d&d_treant	attack	hawkeye@avengers.com
248	Austria	d&d_treant	defense	hawkeye@avengers.com
249	Austria	d&d_treant	heal	hawkeye@avengers.com
250	Austria	d&d_werewolf	attack	capatain.america@avengers.com
251	Austria	d&d_werewolf	defense	capatain.america@avengers.com
252	Austria	d&d_werewolf	heal	capatain.america@avengers.com
253	Austria	d&d_yuan-ti	attack	capatain.america@avengers.com
254	Austria	d&d_yuan-ti	defense	capatain.america@avengers.com
255	Austria	d&d_yuan-ti	heal	capatain.america@avengers.com
256	Bahrain	aliens	attack	valkyrie@avengers.com
257	Bahrain	predators	attack	valkyrie@avengers.com
258	Bahrain	d&d_beholder	attack	valkyrie@avengers.com
259	Bahrain	d&d_beholder	defense	valkyrie@avengers.com
260	Bahrain	d&d_beholder	heal	agent.venom@avengers.com
261	Bahrain	d&d_devil	attack	valkyrie@avengers.com
262	Bahrain	d&d_devil	defense	valkyrie@avengers.com
263	Bahrain	d&d_devil	heal	batman@dc-world.com
264	Bahrain	d&d_lich	attack	valkyrie@avengers.com
265	Bahrain	d&d_lich	defense	valkyrie@avengers.com
266	Bahrain	d&d_lich	heal	hulk@avengers.com
267	Bahrain	d&d_mind_flayer	attack	valkyrie@avengers.com
268	Bahrain	d&d_mind_flayer	defense	valkyrie@avengers.com
269	Bahrain	d&d_mind_flayer	heal	havok@avengers.com
270	Bahrain	d&d_vampire	attack	valkyrie@avengers.com
271	Bahrain	d&d_vampire	defense	valkyrie@avengers.com
272	Bahrain	d&d_vampire	heal	sunspot@avengers.com
273	Bahrain	d&d_red_dragon	attack	valkyrie@avengers.com
274	Bahrain	d&d_red_dragon	defense	valkyrie@avengers.com
275	Bahrain	d&d_red_dragon	heal	smasher@avengers.com
276	Bahrain	d&d_hill_giant	attack	valkyrie@avengers.com
277	Bahrain	d&d_hill_giant	defense	valkyrie@avengers.com
278	Bahrain	d&d_hill_giant	heal	hawkeye@avengers.com
279	Bahrain	d&d_treant	attack	valkyrie@avengers.com
280	Bahrain	d&d_treant	defense	valkyrie@avengers.com
281	Bahrain	d&d_treant	heal	hawkeye@avengers.com
282	Bahrain	d&d_werewolf	attack	valkyrie@avengers.com
283	Bahrain	d&d_werewolf	defense	valkyrie@avengers.com
284	Bahrain	d&d_werewolf	heal	rogue@avengers.com
285	Bahrain	d&d_yuan-ti	attack	valkyrie@avengers.com
286	Bahrain	d&d_yuan-ti	defense	valkyrie@avengers.com
287	Bahrain	d&d_yuan-ti	heal	abyss@avengers.com
288	Bangladesh	aliens	attack	stature@avengers.com
289	Bangladesh	predators	attack	stature@avengers.com
290	Bangladesh	d&d_beholder	attack	stature@avengers.com
291	Bangladesh	d&d_beholder	defense	stature@avengers.com
292	Bangladesh	d&d_beholder	heal	agent.venom@avengers.com
293	Bangladesh	d&d_devil	attack	stature@avengers.com
294	Bangladesh	d&d_devil	defense	stature@avengers.com
295	Bangladesh	d&d_devil	heal	batman@dc-world.com
296	Bangladesh	d&d_lich	attack	stature@avengers.com
297	Bangladesh	d&d_lich	defense	stature@avengers.com
298	Bangladesh	d&d_lich	heal	hulk@avengers.com
299	Bangladesh	d&d_mind_flayer	attack	stature@avengers.com
300	Bangladesh	d&d_mind_flayer	defense	stature@avengers.com
301	Bangladesh	d&d_mind_flayer	heal	havok@avengers.com
302	Bangladesh	d&d_vampire	attack	stature@avengers.com
303	Bangladesh	d&d_vampire	defense	stature@avengers.com
304	Bangladesh	d&d_vampire	heal	sunspot@avengers.com
305	Bangladesh	d&d_red_dragon	attack	stature@avengers.com
306	Bangladesh	d&d_red_dragon	defense	stature@avengers.com
307	Bangladesh	d&d_red_dragon	heal	smasher@avengers.com
308	Bangladesh	d&d_hill_giant	attack	stature@avengers.com
309	Bangladesh	d&d_hill_giant	defense	stature@avengers.com
310	Bangladesh	d&d_hill_giant	heal	hawkeye@avengers.com
311	Bangladesh	d&d_treant	attack	stature@avengers.com
312	Bangladesh	d&d_treant	defense	stature@avengers.com
313	Bangladesh	d&d_treant	heal	hawkeye@avengers.com
314	Bangladesh	d&d_werewolf	attack	stature@avengers.com
315	Bangladesh	d&d_werewolf	defense	stature@avengers.com
316	Bangladesh	d&d_werewolf	heal	rogue@avengers.com
317	Bangladesh	d&d_yuan-ti	attack	stature@avengers.com
318	Bangladesh	d&d_yuan-ti	defense	stature@avengers.com
319	Bangladesh	d&d_yuan-ti	heal	abyss@avengers.com
320	Belgium	aliens	attack	iron.man@avengers.com
321	Belgium	predators	attack	thor@avengers.com
322	Belgium	d&d_beholder	attack	wasp@avengers.com
323	Belgium	d&d_beholder	defense	wasp@avengers.com
324	Belgium	d&d_beholder	heal	wasp@avengers.com
325	Belgium	d&d_devil	attack	ant.man@avengers.com
326	Belgium	d&d_devil	defense	ant.man@avengers.com
327	Belgium	d&d_devil	heal	batman@dc-world.com
328	Belgium	d&d_lich	attack	hulk@avengers.com
329	Belgium	d&d_lich	defense	hulk@avengers.com
330	Belgium	d&d_lich	heal	hulk@avengers.com
331	Belgium	d&d_mind_flayer	attack	capatain.america@avengers.com
332	Belgium	d&d_mind_flayer	defense	capatain.america@avengers.com
333	Belgium	d&d_mind_flayer	heal	capatain.america@avengers.com
334	Belgium	d&d_vampire	attack	capatain.america@avengers.com
335	Belgium	d&d_vampire	defense	capatain.america@avengers.com
336	Belgium	d&d_vampire	heal	capatain.america@avengers.com
337	Belgium	d&d_red_dragon	attack	capatain.america@avengers.com
338	Belgium	d&d_red_dragon	defense	capatain.america@avengers.com
339	Belgium	d&d_red_dragon	heal	capatain.america@avengers.com
340	Belgium	d&d_hill_giant	attack	hawkeye@avengers.com
341	Belgium	d&d_hill_giant	defense	hawkeye@avengers.com
342	Belgium	d&d_hill_giant	heal	hawkeye@avengers.com
343	Belgium	d&d_treant	attack	hawkeye@avengers.com
344	Belgium	d&d_treant	defense	hawkeye@avengers.com
345	Belgium	d&d_treant	heal	hawkeye@avengers.com
346	Belgium	d&d_werewolf	attack	capatain.america@avengers.com
347	Belgium	d&d_werewolf	defense	capatain.america@avengers.com
348	Belgium	d&d_werewolf	heal	capatain.america@avengers.com
349	Belgium	d&d_yuan-ti	attack	capatain.america@avengers.com
350	Belgium	d&d_yuan-ti	defense	capatain.america@avengers.com
351	Belgium	d&d_yuan-ti	heal	capatain.america@avengers.com
352	Belize	aliens	attack	star.brand@avengers.com
353	Belize	predators	attack	star.brand@avengers.com
354	Belize	d&d_beholder	attack	star.brand@avengers.com
355	Belize	d&d_beholder	defense	star.brand@avengers.com
356	Belize	d&d_beholder	heal	agent.venom@avengers.com
357	Belize	d&d_devil	attack	shang-chi@avengers.com
358	Belize	d&d_devil	defense	shang-chi@avengers.com
359	Belize	d&d_devil	heal	batman@dc-world.com
360	Belize	d&d_lich	attack	sentry@avengers.com
361	Belize	d&d_lich	defense	sentry@avengers.com
362	Belize	d&d_lich	heal	hulk@avengers.com
363	Belize	d&d_mind_flayer	attack	star.brand@avengers.com
364	Belize	d&d_mind_flayer	defense	star.brand@avengers.com
365	Belize	d&d_mind_flayer	heal	havok@avengers.com
366	Belize	d&d_vampire	attack	star.brand@avengers.com
367	Belize	d&d_vampire	defense	star.brand@avengers.com
368	Belize	d&d_vampire	heal	sunspot@avengers.com
369	Belize	d&d_red_dragon	attack	star.brand@avengers.com
370	Belize	d&d_red_dragon	defense	star.brand@avengers.com
371	Belize	d&d_red_dragon	heal	smasher@avengers.com
372	Belize	d&d_hill_giant	attack	wolverine@avengers.com
373	Belize	d&d_hill_giant	defense	wolverine@avengers.com
374	Belize	d&d_hill_giant	heal	hawkeye@avengers.com
375	Belize	d&d_treant	attack	wolverine@avengers.com
376	Belize	d&d_treant	defense	wolverine@avengers.com
377	Belize	d&d_treant	heal	hawkeye@avengers.com
378	Belize	d&d_werewolf	attack	star.brand@avengers.com
379	Belize	d&d_werewolf	defense	star.brand@avengers.com
380	Belize	d&d_werewolf	heal	rogue@avengers.com
381	Belize	d&d_yuan-ti	attack	star.brand@avengers.com
382	Belize	d&d_yuan-ti	defense	star.brand@avengers.com
383	Belize	d&d_yuan-ti	heal	abyss@avengers.com
384	Bermuda	aliens	attack	star.brand@avengers.com
385	Bermuda	predators	attack	star.brand@avengers.com
386	Bermuda	d&d_beholder	attack	star.brand@avengers.com
387	Bermuda	d&d_beholder	defense	star.brand@avengers.com
388	Bermuda	d&d_beholder	heal	agent.venom@avengers.com
389	Bermuda	d&d_devil	attack	shang-chi@avengers.com
390	Bermuda	d&d_devil	defense	shang-chi@avengers.com
391	Bermuda	d&d_devil	heal	batman@dc-world.com
392	Bermuda	d&d_lich	attack	sentry@avengers.com
393	Bermuda	d&d_lich	defense	sentry@avengers.com
394	Bermuda	d&d_lich	heal	hulk@avengers.com
395	Bermuda	d&d_mind_flayer	attack	star.brand@avengers.com
396	Bermuda	d&d_mind_flayer	defense	star.brand@avengers.com
397	Bermuda	d&d_mind_flayer	heal	havok@avengers.com
398	Bermuda	d&d_vampire	attack	star.brand@avengers.com
399	Bermuda	d&d_vampire	defense	star.brand@avengers.com
400	Bermuda	d&d_vampire	heal	sunspot@avengers.com
401	Bermuda	d&d_red_dragon	attack	star.brand@avengers.com
402	Bermuda	d&d_red_dragon	defense	star.brand@avengers.com
403	Bermuda	d&d_red_dragon	heal	smasher@avengers.com
404	Bermuda	d&d_hill_giant	attack	wolverine@avengers.com
405	Bermuda	d&d_hill_giant	defense	wolverine@avengers.com
406	Bermuda	d&d_hill_giant	heal	hawkeye@avengers.com
407	Bermuda	d&d_treant	attack	wolverine@avengers.com
408	Bermuda	d&d_treant	defense	wolverine@avengers.com
409	Bermuda	d&d_treant	heal	hawkeye@avengers.com
410	Bermuda	d&d_werewolf	attack	star.brand@avengers.com
411	Bermuda	d&d_werewolf	defense	star.brand@avengers.com
412	Bermuda	d&d_werewolf	heal	rogue@avengers.com
413	Bermuda	d&d_yuan-ti	attack	star.brand@avengers.com
414	Bermuda	d&d_yuan-ti	defense	star.brand@avengers.com
415	Bermuda	d&d_yuan-ti	heal	abyss@avengers.com
416	Bhutan	aliens	attack	iron.man@avengers.com
417	Bhutan	predators	attack	thor@avengers.com
418	Bhutan	d&d_beholder	attack	wasp@avengers.com
419	Bhutan	d&d_beholder	defense	wasp@avengers.com
420	Bhutan	d&d_beholder	heal	wasp@avengers.com
421	Bhutan	d&d_devil	attack	ant.man@avengers.com
422	Bhutan	d&d_devil	defense	ant.man@avengers.com
423	Bhutan	d&d_devil	heal	batman@dc-world.com
424	Bhutan	d&d_lich	attack	hulk@avengers.com
425	Bhutan	d&d_lich	defense	hulk@avengers.com
426	Bhutan	d&d_lich	heal	hulk@avengers.com
427	Bhutan	d&d_mind_flayer	attack	capatain.america@avengers.com
428	Bhutan	d&d_mind_flayer	defense	capatain.america@avengers.com
429	Bhutan	d&d_mind_flayer	heal	capatain.america@avengers.com
430	Bhutan	d&d_vampire	attack	capatain.america@avengers.com
431	Bhutan	d&d_vampire	defense	capatain.america@avengers.com
432	Bhutan	d&d_vampire	heal	capatain.america@avengers.com
433	Bhutan	d&d_red_dragon	attack	capatain.america@avengers.com
434	Bhutan	d&d_red_dragon	defense	capatain.america@avengers.com
435	Bhutan	d&d_red_dragon	heal	capatain.america@avengers.com
436	Bhutan	d&d_hill_giant	attack	hawkeye@avengers.com
437	Bhutan	d&d_hill_giant	defense	hawkeye@avengers.com
438	Bhutan	d&d_hill_giant	heal	hawkeye@avengers.com
439	Bhutan	d&d_treant	attack	hawkeye@avengers.com
440	Bhutan	d&d_treant	defense	hawkeye@avengers.com
441	Bhutan	d&d_treant	heal	hawkeye@avengers.com
442	Bhutan	d&d_werewolf	attack	capatain.america@avengers.com
443	Bhutan	d&d_werewolf	defense	capatain.america@avengers.com
444	Bhutan	d&d_werewolf	heal	capatain.america@avengers.com
445	Bhutan	d&d_yuan-ti	attack	capatain.america@avengers.com
446	Bhutan	d&d_yuan-ti	defense	capatain.america@avengers.com
447	Bhutan	d&d_yuan-ti	heal	capatain.america@avengers.com
448	Bolivia	aliens	attack	vision@avengers.com
449	Bolivia	predators	attack	vision@avengers.com
450	Bolivia	d&d_beholder	attack	vision@avengers.com
451	Bolivia	d&d_beholder	defense	vision@avengers.com
452	Bolivia	d&d_beholder	heal	agent.venom@avengers.com
453	Bolivia	d&d_devil	attack	vision@avengers.com
454	Bolivia	d&d_devil	defense	vision@avengers.com
455	Bolivia	d&d_devil	heal	batman@dc-world.com
456	Bolivia	d&d_lich	attack	vision@avengers.com
457	Bolivia	d&d_lich	defense	vision@avengers.com
458	Bolivia	d&d_lich	heal	hulk@avengers.com
459	Bolivia	d&d_mind_flayer	attack	vision@avengers.com
460	Bolivia	d&d_mind_flayer	defense	vision@avengers.com
461	Bolivia	d&d_mind_flayer	heal	havok@avengers.com
462	Bolivia	d&d_vampire	attack	vision@avengers.com
463	Bolivia	d&d_vampire	defense	vision@avengers.com
464	Bolivia	d&d_vampire	heal	sunspot@avengers.com
465	Bolivia	d&d_red_dragon	attack	vision@avengers.com
466	Bolivia	d&d_red_dragon	defense	vision@avengers.com
467	Bolivia	d&d_red_dragon	heal	smasher@avengers.com
468	Bolivia	d&d_hill_giant	attack	vision@avengers.com
469	Bolivia	d&d_hill_giant	defense	vision@avengers.com
470	Bolivia	d&d_hill_giant	heal	hawkeye@avengers.com
471	Bolivia	d&d_treant	attack	vision@avengers.com
472	Bolivia	d&d_treant	defense	vision@avengers.com
